번호,Root계정ID,Root닉네임,멤버ID,멤버닉네임,국가,소속라인,Root로부터레벨,직접상위ID,직급,패키지,투자금($),가입일,직접추천수당(1회/$),롤업적용여부(BlueD=3레벨),월롤업기여금($),연롤업기여금($),비고
1,LR-KIM-001,Kim_Dragon88,KIM-L1-B01,CN_Wei_01,🇨🇳,Line1,1,LR-KIM-001,Blue Dragon,Standard,500,2025-03-07,50,YES,4.5,54,Kim 직접추천 / 중국라인 리더
2,LR-KIM-001,Kim_Dragon88,KIM-L1-W02-1,CN_Chen_W2_1,🇨🇳,Line1,2,KIM-L1-B01,White Dragon,Basic,200,2025-03-10,20,YES,1.8,21.6,L1 Blue Dragon(KIM-L1-B01)의 자격자 1
3,LR-KIM-001,Kim_Dragon88,KIM-L1-W02-2,CN_Liu_W2_2,🇨🇳,Line1,2,KIM-L1-B01,White Dragon,Basic,200,2025-03-13,20,YES,1.8,21.6,L1 Blue Dragon(KIM-L1-B01)의 자격자 2
4,LR-KIM-001,Kim_Dragon88,KIM-L1-W02-3,CN_Wang_W2_3,🇨🇳,Line1,2,KIM-L1-B01,White Dragon,Basic,200,2025-03-16,20,YES,1.8,21.6,L1 Blue Dragon(KIM-L1-B01)의 자격자 3
5,LR-KIM-001,Kim_Dragon88,KIM-L1-B02,CN_Zhang_02,🇨🇳,Line1,2,KIM-L1-B01,Blue Dragon,Standard,500,2025-03-23,50,YES,4.5,54,척추 Blue Dragon L2
6,LR-KIM-001,Kim_Dragon88,KIM-L1-W03-1,CN_Li_W3_1,🇨🇳,Line1,3,KIM-L1-B02,White Dragon,Basic,200,2025-03-26,20,YES,1.8,21.6,L2 Blue Dragon(KIM-L1-B02)의 자격자 1
7,LR-KIM-001,Kim_Dragon88,KIM-L1-W03-2,CN_Zhao_W3_2,🇨🇳,Line1,3,KIM-L1-B02,White Dragon,Basic,200,2025-03-29,20,YES,1.8,21.6,L2 Blue Dragon(KIM-L1-B02)의 자격자 2
8,LR-KIM-001,Kim_Dragon88,KIM-L1-W03-3,CN_Huang_W3_3,🇨🇳,Line1,3,KIM-L1-B02,White Dragon,Basic,200,2025-04-01,20,YES,1.8,21.6,L2 Blue Dragon(KIM-L1-B02)의 자격자 3
9,LR-KIM-001,Kim_Dragon88,KIM-L1-B03,CN_Sun_03,🇨🇳,Line1,3,KIM-L1-B02,Blue Dragon,Standard,500,2025-04-08,50,YES,4.5,54,척추 Blue Dragon L3
10,LR-KIM-001,Kim_Dragon88,KIM-L1-W04-1,CN_Lin_W4_1,🇨🇳,Line1,4,KIM-L1-B03,White Dragon,Basic,200,2025-04-11,20,NO (4레벨+),0,0,L3 Blue Dragon(KIM-L1-B03)의 자격자 1
11,LR-KIM-001,Kim_Dragon88,KIM-L1-W04-2,CN_Tang_W4_2,🇨🇳,Line1,4,KIM-L1-B03,White Dragon,Basic,200,2025-04-14,20,NO (4레벨+),0,0,L3 Blue Dragon(KIM-L1-B03)의 자격자 2
12,LR-KIM-001,Kim_Dragon88,KIM-L1-W04-3,CN_Xu_W4_3,🇨🇳,Line1,4,KIM-L1-B03,White Dragon,Basic,200,2025-04-17,20,NO (4레벨+),0,0,L3 Blue Dragon(KIM-L1-B03)의 자격자 3
13,LR-KIM-001,Kim_Dragon88,KIM-L1-B04,CN_Han_04,🇨🇳,Line1,4,KIM-L1-B03,Blue Dragon,Standard,500,2025-04-24,50,NO (4레벨+),0,0,척추 Blue Dragon L4
14,LR-KIM-001,Kim_Dragon88,KIM-L1-W05-1,CN_Gao_W5_1,🇨🇳,Line1,5,KIM-L1-B04,White Dragon,Basic,200,2025-04-27,20,NO (4레벨+),0,0,L4 Blue Dragon(KIM-L1-B04)의 자격자 1
15,LR-KIM-001,Kim_Dragon88,KIM-L1-W05-2,CN_Luo_W5_2,🇨🇳,Line1,5,KIM-L1-B04,White Dragon,Basic,200,2025-04-30,20,NO (4레벨+),0,0,L4 Blue Dragon(KIM-L1-B04)의 자격자 2
16,LR-KIM-001,Kim_Dragon88,KIM-L1-W05-3,CN_Song_W5_3,🇨🇳,Line1,5,KIM-L1-B04,White Dragon,Basic,200,2025-05-03,20,NO (4레벨+),0,0,L4 Blue Dragon(KIM-L1-B04)의 자격자 3
17,LR-KIM-001,Kim_Dragon88,KIM-L1-B05,CN_Yang_05,🇨🇳,Line1,5,KIM-L1-B04,Blue Dragon,Standard,500,2025-05-10,50,NO (4레벨+),0,0,척추 Blue Dragon L5
18,LR-KIM-001,Kim_Dragon88,KIM-L1-W06-1,CN_Zhu_W6_1,🇨🇳,Line1,6,KIM-L1-B05,White Dragon,Basic,200,2025-05-13,20,NO (4레벨+),0,0,L5 Blue Dragon(KIM-L1-B05)의 자격자 1
